id_registro;cod_paciente;documento_identidad;nombres;primer_apellido;segundo_apellido;genero;fec_nacimiento;municipio;pueblo_indigena;fec_vacunacion;cod_vacuna;desc_vacuna;nro_dosis;cod_establecimiento;desc_establecimiento;depto;nro_lote;temp_conservacion;edad_dias;via_aplicacion
LP-000029;PAC-LP-00503;46611548 LP;Carlos;Torrez;Salazar;Masculino;10/10/2019;Viacha;No;26/11/2024;VAC-025;Influenza Estacional;1;EST-LP-0008;Centro Ambulatorio Calacoto;La Paz;LOT-GSK-2024-811;4.3;1874;Intramuscular
LP-000030;PAC-LP-01681;53790195 LP;Jorge;Fernández;Choque;Masculino;26/10/2021;Sapahaqui;No;08/03/2024;VAC-002;Pentavalente;1;EST-LP-0064;Policlínico Porvenir;La Paz;LOT-BIO-2024-223;5.5;864;Intramuscular
LP-000031;PAC-LP-03972;45269366 LP;María;Quisbert;Fernández;Femenino;26/11/2007;Caranavi;No;05/03/2025;VAC-024;dT Adulto;1;EST-LP-0037;Posta de Salud Villa Pagador;La Paz;LOT-SNF-2025-897;1.6;6309;Intramuscular
LP-000032;PAC-LP-03582;63620644 LP;Andrea;Gutiérrez;Apaza;Femenino;26/08/2022;Viacha;No;08/11/2024;VAC-025;Influenza Estacional;1;EST-LP-0048;Centro Integral de Salud Litoral;La Paz;LOT-PFZ-2024-837;6.1;805;Intramuscular
LP-000033;PAC-LP-00035;19298917 LP;María;López;Apaza;Femenino;14/08/2022;Guanay;No;02/05/2025;VAC-007;Antipolio IPV;1;EST-LP-0022;Posta de Salud Los Lotes;La Paz;LOT-AZN-2025-760;5.4;992;Intramuscular
LP-000034;PAC-LP-02123;4774150 LP;Ana;Salazar;Siñani;Femenino;27/07/2002;Copacabana;Sí;19/05/2025;VAC-024;dT Adulto;1;EST-LP-0007;Hospital Germán Busch Obrajes;La Paz;LOT-SII-2025-576;4.8;8332;Intramuscular
LP-000035;PAC-LP-03003;78380909 LP;Marco;Siñani;Apaza;Masculino;28/10/2020;Sapahaqui;No;17/02/2024;VAC-002;Pentavalente;1;EST-LP-0035;Centro Ambulatorio Valle Hermoso;La Paz;LOT-AZN-2024-644;3.0;1207;Intramuscular
LP-000036;PAC-LP-03198;60226021 LP;Sonia;Gutiérrez;Castillo;Femenino;08/03/1995;Palca;Sí;27/02/2024;VAC-024;dT Adulto;1;EST-LP-0029;Puesto de Salud Tiquipaya Norte;La Paz;LOT-PFZ-2024-126;3.9;10583;Intramuscular
LP-000037;PAC-LP-01014;61614140 LP;Ramiro;Villca;Yapura;Masculino;24/01/1988;Caranavi;Sí;26/02/2024;VAC-024;dT Adulto;1;EST-LP-0038;Posta de Salud San Sebastián;La Paz;LOT-AZN-2024-263;4.8;13182;Intramuscular
LP-000038;PAC-LP-01387;78971230 LP;Nayeli;Salazar;Gutiérrez;Femenino;08/04/2015;Mecapaca;Sí;04/02/2025;VAC-025;Influenza Estacional;1;EST-LP-0056;Puesto de Salud Toro Toro;La Paz;LOT-PFZ-2025-153;4.2;3590;Intramuscular
LP-000039;PAC-LP-00178;25859871 LP;Ana;Fernández;Martínez;Femenino;12/11/2023;El Alto;Sí;26/11/2024;VAC-014;Antineumocócica;3;EST-LP-0048;Centro Integral de Salud Litoral;La Paz;LOT-SII-2024-397;5.7;380;Intramuscular
LP-000040;PAC-LP-01812;42400090 LP;Óscar;Morales;Mendoza;Masculino;25/12/2001;Copacabana;No;10/12/2024;VAC-025;Influenza Estacional;1;EST-LP-0068;Posta de Salud Villa Victoria;La Paz;LOT-PFZ-2024-543;6.2;8386;Intramuscular
LP-000041;PAC-LP-00694;8581002 LP;Emilio;Escobar;Quispe;Masculino;03/07/2020;Pucarani;Sí;27/07/2024;VAC-006;Pentavalente;5;EST-LP-0060;Posta Sanitaria Nueva Esperanza;La Paz;LOT-BIO-2024-560;9.0;1485;Intramuscular
LP-000042;PAC-LP-00945;68901289 LP;Mateo;Gutiérrez;Tarqui;Masculino;05/03/2004;Caranavi;No;07/11/2024;VAC-024;dT Adulto;1;EST-LP-0070;Centro Ambulatorio Sopocachi;La Paz;LOT-SNF-2024-632;6.0;7552;Intramuscular
LP-000043;PAC-LP-01232;20580744 LP;Freddy;Condori;Salazar;Masculino;23/02/2005;Pucarani;No;02/01/2024;VAC-025;Influenza Estacional;1;EST-LP-0018;Posta Sanitaria Ciudad Satélite;La Paz;LOT-SNF-2024-861;3.1;6887;Intramuscular
LP-000044;PAC-LP-02702;1299519 LP;Sofía;Castillo;Vargas;Femenino;01/06/2022;Sorata;No;13/06/2025;VAC-003;Pentavalente;2;EST-LP-0036;Puesto de Salud Cerro Verde;La Paz;LOT-BIO-2025-329;6.9;1108;Intramuscular
LP-000045;PAC-LP-03735;90781225 LP;Lorena;Condori;Callisaya;Femenino;31/05/2021;Sorata;Sí;05/08/2024;VAC-003;Pentavalente;2;EST-LP-0059;Posta de Salud Villa Primavera;La Paz;LOT-SNF-2024-710;2.4;1162;Intramuscular
LP-000046;PAC-LP-02811;57596808 LP;Jhonny;Flores;Apaza;Masculino;18/08/2022;Achacachi;Sí;07/05/2024;VAC-002;Pentavalente;1;EST-LP-0057;Micro Hospital Tarapacá;La Paz;LOT-BIO-2024-434;7.0;628;Intramuscular
LP-000047;PAC-LP-00226;70070841 LP;Carla;Rojas;Yujra;Femenino;09/09/2021;Palca;Sí;24/04/2025;VAC-007;Antipolio IPV;1;EST-LP-0023;Hospital Germán Busch La Ramada;La Paz;LOT-AZN-2025-833;4.4;1323;Intramuscular
LP-000048;PAC-LP-00379;68980386 LP;Efraín;Martínez;Siñani;Masculino;25/06/2023;Sapahaqui;No;31/01/2024;VAC-003;Pentavalente;2;EST-LP-0050;Posta de Salud Bartolina Sisa;La Paz;LOT-AZN-2024-177;6.0;220;Intramuscular
LP-000049;PAC-LP-03919;8700867 LP;Silvia;Copa;Apaza;Femenino;26/08/2006;Sorata;Sí;25/04/2025;VAC-025;Influenza Estacional;1;EST-LP-0039;Centro de Salud La Cancha;La Paz;LOT-AZN-2025-784;12.9;6817;Intramuscular
