record_id;sync_timestamp;device_id;patient_id;patient_ci;patient_name;patient_last_name_1;patient_last_name_2;patient_sex;patient_birth_date;patient_department;patient_municipality;patient_community;patient_indigenous;vaccination_date;vaccine_code;vaccine_name;dose_number;facility_code;facility_name;lot_number;storage_temp_celsius;patient_age_days;administration_route;gps_latitude;gps_longitude;gps_accuracy_meters;observations
MOVIL-000011;2025-06-07T09:56:30;TAB-OR-02;MOV-01156;90293904 OR;Fortunato;Nina;Tarqui;M;01/08/2021;Oruro;Oruro;Comunidad Culpina;TRUE;2025-06-07T13:07:40;VAC-021;Antiamarílica (FA);1.0;EST-OR-0252;Posta Sanitaria Nueva Esperanza;LOT-GSK-2025-690;0.5;1406;Subcutánea;-17.493.123;-67.286.824;5.0;Segunda visita - completar esquema
MOVIL-000012;2024-10-02T15:57:21;TAB-CH-03;MOV-00178;30370827 PT;María;Flores;Tarqui;F;24/07/2023;Potosí;Colquechaca;Comunidad Chacala;FALSE;2024-10-02T16:37:13;VAC-014;Antineumocócica;3.0;EST-PT-0203;Micro Hospital Achumani;LOT-SII-2024-753;13.5;436;Intramuscular;-19.844.796;-66.474.798;15.0;
MOVIL-000013;2024-02-01T10:29:05;TAB-CH-03;MOV-00546;4823873 CH;Tomasa;Yapura;Mendoza;F;14/01/2024;Chuquisaca;Mojocoya;Comunidad Ocurí;TRUE;2024-02-01T14:17:15;VAC-001;BCG;1.0;EST-CH-0268;Centro Ambulatorio Cota Cota;LOT-SII-2024-891;5.0;18;Intradérmica;-19.683.488;-64.715.447;5.0;Referido de posta vecina
MOVIL-000014;2025-06-03T11:47:14;TAB-PT-07;MOV-00360;7822603 PT;Claudia;Yujra;Copa;F;15/09/2021;Potosí;Tinguipaya;Comunidad Tolapampa;FALSE;2025-06-03T08:19:05;VAC-020;SRP (Triple Viral);2.0;EST-PT-0203;Micro Hospital Achumani;LOT-BIO-2025-216;7.1;1357;Subcutánea;-19.224.316;-66.323.944;25.0;
MOVIL-000015;2025-01-30T15:14:31;TAB-OR-04;MOV-00982;53483952 OR;David;Tarqui;Marca;M;04/01/2023;Oruro;Machacamarca;Comunidad Tolapampa;TRUE;2025-01-30T15:23:07;VAC-019;SRP (Triple Viral);1.0;EST-OR-0237;Centro Ambulatorio Franz Tamayo;LOT-AZN-2025-727;5.0;757;Subcutánea;-17.429.171;-66.724.343;25.0;
MOVIL-000016;2024-01-30T13:24:41;TAB-OR-03;MOV-00903;29013358 OR;Zenón;Poma;Apaza;M;22/03/2023;Oruro;Eucaliptus;Comunidad Chacala;FALSE;2024-01-30T12:37:30;VAC-013;Antineumocócica;2.0;EST-OR-0239;Posta de Salud Bolívar;LOT-SNF-2024-256;3.7;314;Intramuscular;-17.258.509;-66.338.323;50.0;
MOVIL-000017;2024-05-31T12:35:07;TAB-OR-03;MOV-00781;72209185 PT;Epifania;Mamani Quispe;Chura;F;02/01/2022;Potosí;Puna;Ayllu Macha;TRUE;2024-05-31T07:11:04;VAC-021;Antiamarílica (FA);1.0;EST-PT-0232;Micro Hospital Chimba;LOT-AZN-2024-391;9.9;880;Subcutánea;-2.002.921;-66.723.217;15.0;
MOVIL-000018;2025-05-12T07:40:39;TAB-OR-07;MOV-00076;62119361 OR;Luis;Catari;Condori;M;13/10/2022;Oruro;Machacamarca;;TRUE;2025-05-12T10:31:30;VAC-009;Antipolio bOPV;3.0;EST-OR-0240;Posta Sanitaria Litoral;LOT-SNF-2025-766;1.8;942;Oral;-18.336.463;-67.837.943;10.0;
MOVIL-000019;2024-07-12T07:39:21;TAB-CH-02;MOV-00046;;Víctor;Chambi;Rojas;M;03/06/2021;Chuquisaca;Huacareta;Ayllu Qhara Qhara;TRUE;2024-07-12T16:25:33;VAC-020;SRP (Triple Viral);2.0;EST-CH-0276;Puesto de Salud Plan 3000;LOT-PFZ-2024-925;16.4;1135;Subcutánea;-18.907.433;-65.497.049;15.0;Brigada móvil comunitaria
MOVIL-000020;2024-06-27T07:39:54;TAB-PT-07;MOV-00242;;Óscar;Torrez;Laura;M;12/10/1991;Chuquisaca;Camargo;Comunidad Chacala;FALSE;2024-06-27T13:52:30;VAC-024;dT Adulto;1.0;EST-CH-0291;Posta Sanitaria Valle Hermoso;LOT-BIO-2024-448;8.5;11947;Intramuscular;-19.181.501;-64.279.078;15.0;
MOVIL-000021;2024-08-13T08:12:26;TAB-CH-06;MOV-00022;12310552 CH;María;Marca;Yujra;F;08/07/1991;Chuquisaca;Padilla;Comunidad Huari;FALSE;2024-08-13T07:56:44;VAC-024;dT Adulto;1.0;EST-PT-9003;Brigada Móvil Norte Potosí;LOT-GSK-2024-168;17.6;12090;Intramuscular;-18.931.287;-65.069.083;50.0;Referido de posta vecina
MOVIL-000022;2024-11-07T11:58:02;TAB-PT-06;MOV-00916;;Valentina;Chura;Choque;F;06/04/2024;Oruro;Poopó;Comunidad Calacoto;TRUE;2024-11-07T13:02:56;VAC-003;Pentavalente;2.0;EST-OR-0254;Posta de Salud Unión;LOT-PFZ-2024-593;8.1;215;Intramuscular;-1.826.272;-67.034.067;15.0;Vacunación en unidad educativa
MOVIL-000023;2024-08-27T13:52:03;TAB-PT-03;MOV-01077;1908573 PT;Wilmer;Chura;Quispe;M;26/11/1998;Potosí;Sacaca;Ayllu Macha;FALSE;2024-08-27T07:06:08;VAC-025;Influenza Estacional;1.0;;;LOT-PFZ-2024-355;3.5;9406;Intramuscular;-19.779.104;-64.562.254;5.0;
MOVIL-000024;2024-10-25T07:58:39;TAB-PT-03;MOV-01154;10255211 PT;Wilmer;Mamani Quispe;Catari;M;28/09/2023;Potosí;Uncía;Comunidad Ocurí;FALSE;2024-10-25T13:50:51;VAC-001;BCG;1.0;EST-PT-0225;Posta de Salud Alalay;LOT-AZN-2024-145;15.2;393;Intradérmica;-20.447.532;-66.431.204;15.0;Segunda visita - completar esquema
MOVIL-000025;2024-06-25T15:36:17;TAB-CH-01;MOV-01103;69637338 OR;Marco;Colque;Ticona;M;07/04/2021;Oruro;Challapata;Ayllu Macha;TRUE;2024-06-25T10:57:39;VAC-001;BCG;1.0;EST-OR-0239;Posta de Salud Bolívar;LOT-PFZ-2024-444;8.7;1175;Intradérmica;-18.339.916;-66.861.747;10.0;
MOVIL-000026;2024-10-28T10:06:20;TAB-PT-02;MOV-01049;62864145 PT;Petrona;Vargas;Calle;F;11/04/2008;Potosí;Sacaca;Comunidad Culpina;TRUE;2024-10-28T13:07:41;VAC-024;dT Adulto;1.0;EST-PT-0207;Centro Materno Infantil Santiago de Lacaya;LOT-SNF-2024-997;13.8;6044;Intramuscular;-19.431.149;-65.245.236;25.0;
MOVIL-000027;2024-04-29T09:29:21;TAB-PT-03;MOV-00692;;Celestino;Mendoza;Apaza;M;23/11/2021;Potosí;Uncía;Comunidad Tinquipaya;FALSE;2024-04-29T11:29:02;VAC-002;Pentavalente;1.0;EST-PT-0216;Micro Hospital Equipetrol;LOT-BIO-2024-906;10.1;888;Intramuscular;-1.854.645;-66.603.917;10.0;
MOVIL-000028;2024-07-11T15:27:29;TAB-OR-07;MOV-00325;52989536 OR;Dionisio;Ticona;Nina;M;08/04/2005;Oruro;Machacamarca;;TRUE;2024-07-11T13:28:25;VAC-024;dT Adulto;1.0;EST-OR-0238;Posta Sanitaria Mariscal Sucre;LOT-AZN-2024-242;6.2;7034;Intramuscular;-17.324.165;-67.794.976;15.0;Referido de posta vecina
MOVIL-000029;2024-01-05T11:12:17;TAB-CH-03;MOV-00200;15804511 OR;Epifania;Flores;Siñani;F;29/01/2021;Oruro;Oruro;;TRUE;2024-01-05T12:18:21;VAC-019;SRP (Triple Viral);1.0;EST-OR-0249;Posta de Salud Tarapacá;LOT-GSK-2024-212;7.8;1071;Subcutánea;-1.875.661;-66.837.179;15.0;Vacunación en unidad educativa
MOVIL-000030;2024-06-08T14:45:19;TAB-OR-07;MOV-00162;;Efraín;Machaca;Callisaya;M;28/08/2022;Potosí;Ravelo;Ayllu Laymes;TRUE;2024-06-08T07:57:51;VAC-007;Antipolio IPV;;EST-PT-0201;Centro Ambulatorio Chasquipampa;LOT-SNF-2024-178;3.4;650;Intramuscular;-20.506.941;-65.620.609;10.0;
MOVIL-000031;2024-08-14T10:58:29;TAB-OR-07;MOV-00341;77351077 CH;Celestino;Marca;Choque;M;07/07/2021;Chuquisaca;Zudáñez;Comunidad San Pedro de Quemes;TRUE;2024-08-14T09:41:12;VAC-007;Antipolio IPV;1.0;EST-CH-0291;Posta Sanitaria Valle Hermoso;LOT-SII-2024-537;2.9;1134;Intramuscular;-18.541.794;-65.788.314;5.0;
MOVIL-000032;2024-10-10T08:08:05;TAB-PT-01;MOV-00168;29728437 OR;Rosa;Apaza;Mamani;F;29/12/2019;Oruro;Chipaya;Comunidad Chipaya;TRUE;2024-10-10T09:09:36;VAC-004;Pentavalente;3.0;EST-OR-0252;Posta Sanitaria Nueva Esperanza;LOT-BIO-2024-698;5.0;1747;Intramuscular;-17.274.968;-67.075.144;5.0;Segunda visita - completar esquema
MOVIL-000033;2025-03-19T10:14:17;TAB-PT-07;MOV-00410;;Víctor;Copa;Calle;M;20/09/2019;Potosí;Puna;Comunidad Chipaya;TRUE;2025-03-19T08:06:55;VAC-025;Influenza Estacional;1.0;EST-PT-0203;Micro Hospital Achumani;LOT-SII-2025-396;11.8;2007;Intramuscular;-18.917.567;-64.811.683;15.0;
MOVIL-000034;2024-09-14T13:16:18;TAB-OR-01;MOV-00486;48865579 OR;Efraín;Callisaya;Copa;M;15/05/2022;Oruro;Challapata;Comunidad Chacala;FALSE;2024-09-14T07:31:15;VAC-009;Antipolio bOPV;3.0;EST-OR-0258;Posta Sanitaria Villa Fátima;LOT-BIO-2024-833;5.2;853;Oral;-17.820.794;-66.987.017;100.0;Brigada móvil comunitaria
MOVIL-000035;2025-03-14T10:53:25;TAB-OR-05;MOV-00088;85380672 CH;Celestino;Yujra;Yapura;M;10/03/2020;Chuquisaca;Padilla;;FALSE;2025-03-14T08:47:31;VAC-025;Influenza Estacional;1.0;EST-CH-0270;Centro de Salud Kupini;LOT-AZN-2025-997;12.7;1830;Intramuscular;-19.594.835;-66.218.729;5.0;
MOVIL-000036;2025-06-17T11:24:43;TAB-PT-03;MOV-00304;19434369 CH;Rosa;Mamani Quispe;Alanoca;F;15/09/1995;Chuquisaca;Tarabuco;Comunidad Ravelo;TRUE;2025-06-17T09:27:59;VAC-024;dT Adulto;1.0;EST-CH-0285;Posta Sanitaria Tiquipaya Norte;LOT-PFZ-2025-467;10.5;10868;Intramuscular;-19.718.517;-64.358.863;100.0;Segunda visita - completar esquema
MOVIL-000037;2024-04-06T08:18:09;TAB-CH-03;MOV-00200;15804511 OR;Epifania;Flores;Siñani;F;29/01/2021;Oruro;Oruro;;TRUE;2024-04-06T09:52:18;VAC-001;BCG;1.0;EST-OR-0247;Centro Integral de Salud Tunari;LOT-SNF-2024-381;9.6;1163;Intradérmica;-18.195.842;-66.744.332;15.0;
MOVIL-000038;2025-01-06T13:05:18;TAB-OR-05;MOV-00939;;Claudia;Tarqui;Alanoca;F;05/11/2023;Potosí;Llallagua;Comunidad Culpina;TRUE;2025-01-06T16:28:58;VAC-014;Antineumocócica;3.0;EST-PT-0226;Centro Ambulatorio Jaihuayco;LOT-BIO-2025-419;5.8;428;Intramuscular;-19.673.754;-65.887.795;50.0;
MOVIL-000039;2024-09-02T12:18:34;TAB-PT-06;MOV-00294;22731798 PT;Claudia;Villca;Choque;F;28/09/1995;Potosí;Llallagua;Comunidad Tolapampa;FALSE;2024-09-02T08:14:43;VAC-025;Influenza Estacional;1.0;EST-PT-0201;Centro Ambulatorio Chasquipampa;LOT-SII-2024-589;3.4;10567;Intramuscular;-20.259.126;-65.911.967;5.0;
MOVIL-000040;2024-05-21T08:52:30;TAB-PT-03;MOV-00179;97861128 PT;Silvia;Choque Huanca;Torrez;F;15/08/2022;Potosí;Uyuni;Comunidad Tolapampa;TRUE;2024-05-21T10:08:44;VAC-021;Antiamarílica (FA);1.0;EST-PT-0222;Puesto de Salud Sacaba Sur;LOT-PFZ-2024-286;8.4;645;Subcutánea;-19.613.287;-6.594.219;50.0;
MOVIL-000041;2025-06-14T11:10:04;TAB-OR-04;MOV-00333;55779043 PT;Ana;Flores;Callisaya;F;21/08/2020;Potosí;Tupiza;Comunidad Tinquipaya;FALSE;2025-06-14T08:18:25;VAC-001;BCG;1.0;EST-PT-0217;Puesto de Salud Urbarí;LOT-PFZ-2025-739;15.4;1758;Intradérmica;-19.407.303;-66.682.344;10.0;
MOVIL-000042;2025-03-05T16:16:56;TAB-PT-01;MOV-00721;23907093 CH;Grover;Huanca;Copa;M;06/05/2013;Chuquisaca;Tarabuco;Ayllu Chayantaka;TRUE;2025-03-05T11:47:06;VAC-025;Influenza Estacional;1.0;EST-CH-0270;Centro de Salud Kupini;LOT-BIO-2025-395;3.6;4321;Intramuscular;-19.923.492;-65.530.265;100.0;
MOVIL-000043;2025-05-12T08:42:12;TAB-CH-06;MOV-00895;99089488 OR;Luis;Poma;Huanca;M;22/06/2009;Oruro;Caracollo;Comunidad Ocurí;TRUE;2025-05-12T14:59:15;VAC-025;Influenza Estacional;1.0;EST-OR-0248;Centro Ambulatorio Toro Toro;LOT-AZN-2025-625;8.8;5803;Intramuscular;-18.091.755;-67.125.677;10.0;
MOVIL-000044;2024-07-10T10:23:59;TAB-OR-07;MOV-00259;4325315 PT;Wilmer;Condori Poma;Huanca;M;26/12/2019;Potosí;Ravelo;Ayllu Laymes;TRUE;2024-07-10T07:20:22;VAC-021;Antiamarílica (FA);1.0;EST-PT-0203;Micro Hospital Achumani;LOT-SII-2024-264;4.1;1658;Subcutánea;-18.860.381;-64.624.437;50.0;
MOVIL-000045;2024-07-27T13:38:37;TAB-OR-06;MOV-00935;36424315 PT;Juana;Catari;Chura;F;17/08/1989;Potosí;Uncía;Ayllu Macha;FALSE;2024-07-27T11:40:15;VAC-025;Influenza Estacional;1.0;EST-PT-0225;Posta de Salud Alalay;PFZ.2024.958;5.9;12763;Intramuscular;-1.888.075;-65.561.569;15.0;
MOVIL-000046;2025-03-04T08:35:19;TAB-CH-07;MOV-00878;93609426 PT;Wálter;Flores;Rojas;M;10/02/2013;Potosí;Tupiza;Comunidad San Pedro de Quemes;TRUE;2025-03-04T09:48:37;VAC-023;VPH;2.0;EST-PT-0219;Puesto de Salud Hamacas;GSK/2025/638;13.6;4405;Intramuscular;-19.010.902;-64.819.978;5.0;Vacunación en unidad educativa
MOVIL-000047;2024-01-02T13:08:13;TAB-CH-07;MOV-00262;44626563 PT;Nayeli;Laura;Machaca;F;29/06/2023;Potosí;Potosí;Comunidad Chipaya;FALSE;2024-01-02T07:48:24;VAC-025;Influenza Estacional;1.0;EST-PT-0213;Policlínico Pampa de la Isla;LOT-SII-2024-336;2.8;187;Intramuscular;-20.009.321;-66.947.017;5.0;
MOVIL-000048;2024-08-15T15:55:04;TAB-CH-02;MOV-00301;;Bernarda;Yujra;Mamani Quispe;F;25/10/2021;Potosí;Betanzos;;TRUE;2024-08-15T15:38:34;VAC-019;SRP (Triple Viral);1.0;EST-PT-0224;Posta de Salud Temporal;LOT-PFZ-2024-702;7.5;1025;Subcutánea;-20.071.844;-64.568.211;5.0;Referido de posta vecina
MOVIL-000049;2024-09-13T11:56:33;TAB-OR-05;MOV-00011;4331068 PT;Dionisio;Laura;Chipana;M;08/05/2020;Potosí;Villazón;Comunidad Tinquipaya;TRUE;2024-09-13T07:58:05;VAC-001;BCG;1.0;EST-PT-0217;Puesto de Salud Urbarí;LOT-SNF-2024-496;15.6;1589;Intradérmica;-194.056;-66.557.271;25.0;
